x,solution,exactSolution
25.900000000000002,1.9822824754397246e-25,1.5473855217909754e-68
26.0,6.4019696575077898e-26,2.9058819242227392e-70
26.100000000000001,2.0521738066024434e-26,5.1909001351840344e-72
26.200000000000003,6.5296962275326294e-27,8.8204889463760903e-74
26.300000000000001,2.0624125327145956e-27,1.4256992534975116e-75
26.400000000000002,6.4667610880782096e-28,2.1920399264945596e-77
26.5,2.0130352964350432e-28,3.2059317621782886e-79
26.600000000000001,6.2214761306452707e-29,4.4601078865014907e-81
26.700000000000003,1.9091355055483438e-29,5.9023061151998799e-83
26.800000000000001,5.8170761133894106e-30,7.4299068936536796e-85
26.900000000000002,1.7600315594816522e-30,8.8967275089908118e-87
27.0,5.2881840526400702e-31,1.0133570250869176e-88
27.100000000000001,1.577921510635732e-31,1.0979433988973782e-90
27.200000000000003,4.6760478477122388e-32,1.1315733149547842e-92
27.300000000000001,1.3762865501982772e-32,1.1093554427559963e-94
27.400000000000002,4.0234303112922358e-33,1.0345322068097248e-96
27.5,1.1683226897009729e-33,9.177039237217418e-99
27.600000000000001,3.3699895229868724e-34,7.7436628757482224e-101
27.700000000000003,9.6563745321182409e-35,6.2154927226376401e-103
27.800000000000001,2.7487773885126725e-35,4.7455872553984908e-105
27.900000000000002,7.7736461929889631e-36,3.4465901272938799e-107
28.0,2.1841840912065112e-36,2.3810833170950962e-109
28.100000000000001,6.0975060151472235e-37,1.5647494969924701e-111
28.200000000000003,1.6913471495978085e-37,9.7813843620656314e-114
28.300000000000001,4.661755845817596e-38,5.8162237464049304e-116
28.400000000000002,1.2767945341297968e-38,3.2897823129752774e-118
28.5,3.475085143281432e-39,1.7700213033558604e-120
28.600000000000001,9.3994145729022605e-40,9.0588924032953216e-123
28.700000000000003,2.5266484354874176e-40,4.4101868019384096e-125
28.800000000000001,6.7501743055139368e-41,2.042321667948114e-127
28.900000000000002,1.7923738017282638e-41,8.9965620710062366e-130
29.0,4.7304522568749849e-42,3.7697651241648573e-132
29.100000000000001,1.2409493118353029e-42,1.502578878508617e-134
29.200000000000003,3.2359316140852802e-43,5.6969911281177267e-137
29.300000000000001,8.3879327627752134e-44,2.0546558188882732e-139
29.400000000000002,2.1614094805771441e-44,7.0488439748295338e-142
29.5,5.5368359984241516e-45,2.3002868077108083e-144
29.600000000000001,1.4100826066273105e-45,7.1405449227183551e-147
29.700000000000003,3.5702722674409362e-46,2.1084630698010938e-149
29.800000000000001,8.9876760218015587e-47,5.922238829830099e-152
29.900000000000002,2.2495621328568044e-47,1.5823083219126474e-154
30.0,5.5984541309370015e-48,4.0214399020537746e-157
30.100000000000001,1.3853919506814123e-48,9.7220383382724813e-160
30.200000000000003,3.4089943410920708e-49,2.2357248385967712e-162
30.300000000000001,8.3414872962607178e-50,4.8906282271326914e-165
30.400000000000002,2.0297317028709871e-50,1.0176448155063287e-167
30.5,4.9116326646177688e-51,2.0142486189026836e-170
30.600000000000001,1.1820047787304676e-51,3.7924092797567214e-173
30.700000000000003,2.8289973663214024e-52,6.79207702828389e-176
30.800000000000001,6.7340990776504937e-53,1.1571116880003643e-178
30.900000000000002,1.5943132091294421e-53,1.875137996685522e-181
31.0,3.7542946536954331e-54,2.8905232292739623e-184
31.100000000000001,8.7934008114611817e-55,4.2384295560565512e-187
31.200000000000003,2.0486712645050075e-55,5.9117866294075032e-190
31.300000000000001,4.7477464804984641e-56,7.8436428123071204e-193
31.400000000000002,1.0944990958954489e-56,9.899246566569297e-196
31.5,2.5099704080343846e-57,1.1884249224824152e-198
31.600000000000001,5.7261092791556272e-58,1.3571462028798483e-201
31.700000000000003,1.2995736422638203e-58,1.4742352692373404e-204
31.800000000000001,2.9343009362481958e-59,1.5233238225144403e-207
31.900000000000002,6.5914815261091177e-60,1.4972797350996819e-210
32.0,1.4731537050049332e-60,1.3999061949329776e-213
32.100000000000001,3.2757564384214533e-61,1.245031100267451e-216
32.200000000000003,7.2474532177997883e-62,1.0532870401300201e-219
32.299999999999997,1.5954424830584407e-62,8.4761485032950905e-223
32.400000000000006,3.4947033507394754e-63,6.4883706237430335e-226
32.5,7.6170063024550498e-64,4.7245235442345365e-229
32.600000000000001,1.6520167037052174e-64,3.2723945579604367e-232
32.700000000000003,3.5654294490630358e-65,2.1560487769897043e-235
32.799999999999997,7.6575107597365057e-66,1.3512533316972067e-238
32.900000000000006,1.6366382293278497e-66,8.0556437084684609e-242
33.0,3.481111373604215e-67,4.5682408962400029e-245
33.100000000000001,7.3687535834900527e-68,2.4642401035575564e-248
33.200000000000003,1.5523572370604877e-68,1.2644519213411592e-251
33.299999999999997,3.254777905634547e-69,6.1717296847094368e-255
33.400000000000006,6.791935105711993e-70,2.8654758166583123e-258
33.5,1.4106475043369821e-70,1.265528339253064e-261
33.600000000000001,2.9161275832522816e-71,5.3165790800158214e-265
33.700000000000003,6.0002273896554181e-72,2.1246038159276862e-268
33.799999999999997,1.2288874459327713e-72,8.0762343443453618e-272
33.900000000000006,2.5052418637932877e-73,2.9202843637636944e-275
34.0,5.0838206265752463e-74,1.0044461302089791e-278
34.100000000000001,1.0269363893760037e-74,3.2863471110621725e-282
34.200000000000003,2.0649964247518537e-75,1.022787687500581e-285
34.299999999999997,4.1335870025626023e-76,3.0279090485175695e-289
34.400000000000006,8.2371386178379809e-77,8.5267874289953402e-293
34.5,1.6340923140033941e-77,2.2840905794606737e-296
34.600000000000001,3.2272829606256456e-78,5.8200469064666782e-300
34.700000000000003,6.3455166482718013e-79,1.4106683514770113e-303
