t,xMeas1,xMeas2
10.165000000000026,7.9282184144614948e-26,2.9058019277075823e-236
10.170000000000027,9.1363927633011087e-26,5.3077206432425018e-236
10.175000000000027,1.0526152761304651e-25,9.6884277038573035e-236
10.180000000000028,1.2124405907386043e-25,1.7672670090193417e-235
10.185000000000029,1.396198919236005e-25,3.2214773576372743e-235
10.19000000000003,1.6074234413654914e-25,5.8683021299401729e-235
10.19500000000003,1.8501613573225471e-25,1.0682545213839028e-234
10.200000000000031,2.1290475524252081e-25,1.9433110851242195e-234
10.205000000000032,2.4493886563600229e-25,3.532772344336873e-234
10.210000000000033,2.81725894049005e-25,6.4179323085016775e-234
10.215000000000034,3.239609693884713e-25,1.1651482541635347e-233
10.220000000000034,3.7243939423823377e-25,2.1138503639883719e-233
10.225000000000035,4.280708628617367e-25,3.8324342055420896e-233
10.230000000000036,4.9189566584812019e-25,6.943573014894519e-233
10.235000000000037,5.6510315453937604e-25,1.2571860553918013e-232
10.240000000000038,6.4905277530723142e-25,2.274703364154987e-232
10.245000000000038,7.452980255872333e-25,4.1130033823621589e-232
10.250000000000039,8.5561373096482751e-25,7.4319513938214978e-232
10.25500000000004,9.8202709626678164e-25,1.3420125164892815e-231
10.260000000000041,1.1268530443562015e-24,2.4217014268705874e-231
10.265000000000041,1.292734425079742e-24,4.3671224334044692e-231
10.270000000000042,1.4826877546075037e-24,7.8701188120128897e-231
10.275000000000043,1.700155233407235e-24,1.4173554330552275e-230
10.280000000000044,1.9490638906204795e-24,2.5508694394829251e-230
10.285000000000045,2.2338928151412882e-24,4.587859116226009e-230
10.290000000000045,2.5597495609070855e-24,8.2460261847521494e-230
10.295000000000046,2.9324569576754327e-24,1.4811278529602054e-229
10.300000000000047,3.3586517209950242e-24,2.6586061186694262e-229
10.305000000000048,3.8458964385646869e-24,4.769023581444035e-229
10.310000000000048,4.4028067173885539e-24,8.5490797009864565e-229
10.315000000000049,5.0391955100912981e-24,1.5315250135356641e-228
10.32000000000005,5.7662369028418259e-24,2.7418523278226102e-228
10.325000000000051,6.5966519453554265e-24,4.9054592216585121e-228
10.330000000000052,7.5449194396836185e-24,8.7706408263134897e-228
10.335000000000052,8.6275149837677119e-24,1.5671098247108321e-227
10.340000000000053,9.8631819934301248e-24,2.7982363513541236e-227
10.345000000000054,1.1273238908675863e-23,4.9932879427631834e-227
10.350000000000055,1.2881927333690164e-23,8.9044373960378195e-227
10.355000000000055,1.4716806472397602e-23,1.5868812083537606e-226
10.360000000000056,1.6809199911479366e-23,2.8261864396571769e-226
10.365000000000057,1.9194701579963203e-23,5.0300934936986345e-226
10.370000000000058,2.1913748589712818e-23,8.9468583870804868e-226
10.375000000000059,2.5012269646471239e-23,1.5903207459213636e-225
10.380000000000059,2.8542418830146881e-23,2.8250031615972323e-225
10.38500000000006,3.2563405791006693e-23,5.0150307643662268e-225
10.390000000000061,3.7142434812432223e-23,8.8971130837036696e-225
10.395000000000062,4.2355766770031619e-23,1.5774146168971929e-224
10.400000000000063,4.8289919792613501e-23,2.7948869588012368e-224
10.405000000000063,5.5043026426815381e-23,4.9488542549223912e-224
10.410000000000064,6.2726367350909708e-23,8.7572450878413851e-224
10.415000000000065,7.1466104204561807e-23,1.5486495890279614e-223
10.420000000000066,8.1405236933744131e-23,2.7369195242333719e-223
10.425000000000066,9.2705814231279049e-23,4.8338647432592816e-223
10.430000000000067,1.0555142922571086e-22,8.5320020678444921e-223
10.435000000000068,1.2015003658150183e-22,1.5049836831174026e-222
10.440000000000069,1.367371316745727e-22,2.6530009274344544e-222
10.44500000000007,1.555793375578318e-22,4.6737789926148864e-222
10.45000000000007,1.769784510973409e-22,8.2285723271138678e-222
10.455000000000071,2.0127600601464606e-22,1.4477939092768594e-221
10.460000000000072,2.2885841769664627e-22,2.545747479341213e-221
10.465000000000073,2.6016278262285191e-22,4.4735326212633531e-221
10.470000000000073,2.9568341421334007e-22,7.8562082916278541e-221
10.475000000000074,3.3597920693337632e-22,1.3788050003813908e-220
10.480000000000075,3.8168193173000824e-22,2.4183579011476876e-220
10.485000000000076,4.3350557846415822e-22,4.2390305439427725e-220
10.490000000000077,4.9225687509746232e-22,7.4257640948036561e-220
10.495000000000077,5.5884712917319304e-22,1.3000042243498313e-219
